cva,name,street,city,state and zip
52,Overlook at Gwinnet Stadium Apts,1600 Overlook Park Lane,Lawrenceville, GA 30043
53,Durham Apts - North Tower,7201 York Avenue South,Edina, MN 55435
54,Durham Apts - North Tower,7201 York Avenue North,Edina, MN 55435
56,not installed,not installed,NA, GA 30349
57,College Mall Apts,2623 East 2 Street,Bloomington, IN 47401
59,3375 Alma Street,3375 Alma Street,Palo Alto, CA 94306
60,Old Orchard Apts,10101 Old Orchard Court,Skokie, IL 60076
61,32 South Munn Avenue,32 South Munn Avenue,East Orange, NJ 07018
62,NA,NA,NA, NY 11803
63,Aspen Chase,2960 International Drive,Ypsilanti, MI 48197
64,140 Ocean Parkway,140 Ocean Parkway,Brooklyn, NY 11218
65,in warehouse,in warehouse,NA, IL 60657
68,Golf Villas at Sabal,5900 NW 46 Terrace,Tamarac, FL 33319
69,Windsor Hills Apts,1100 Ascot La,Blacksburg, VA 24060
72,1065 Park Avenue,1065 Park Avenue,New York, NY 10128
74,Jeffery Investment Apts,7144 S Jeffery Blvd,Chicago, IL 60649
75,816 E 49th Street,816 E 49 St,Chicago, IL 60615
76,Jeffery Investment Apts,1962 E 71 Pl,Chicago, IL 60649
77,Jeffery Investment Apts,7130 S Jeffery Blvd,Chicago, IL 60649
78,Jeffery Investment Apts,7147 S Jeffery Blvd,Chicago, IL 60649
79,7708 S South Shore Dr,7708 S South Shore Dr,Chicago, IL 60649
80,240 Seavey Circle,240 Seavey Circle,Sacramento, CA 95818
81,Phoenix Apts,5802 Annapolis Road,Bladensburg, MD 20710
82,Gateway Georgetown,2500 Q Street NW,Washington, DC 20007
83,Phoenix Apts,Phoenix Apts,Bladensburg, MD 20710
84,Douglas Trail Townhomes,5041 Weatherstone Circle NW,Rochester, MN 55901
85,8300 4 Avenue,8300 4 Avenue,Brooklyn, NY 11209
86,Orland Arms,1775 East 18 Street,Brooklyn, NY 11229
87,Riverview at Edison,72 Fox Road,Edison, NJ 08817
88,74 Gatling Place,74 Gatling Place,Brooklyn, NY 11209
89,8831 Fort Hamilton Parkway,8831 Fort Hamilton Parkway,Brooklyn, NY 11209
91,Urbane on Breckenridge,346 West Breckenridge Street,Ferndale, MI 48073
92,Fisher Build,343 South Dearborn Street,Chicago, IL 60604
95,College Park Towers,College Park Towers,College Park, MD 20740
96,College Park Towers,College Park Towers,College Park, MD 20740
97,Palmer House,2333 Palmer Avenue,New Rochelle, NY 10801
98,3203 Nostrand Avenue,3203 Nostrand Avenue,Brooklyn, NY 11229
100,Palmer House,Palmer House,New Rochelle, NY 10801
101,2010 Kolorama Road NW,2010 Kolorama Road NW,Washington, DC 20009
103,Stuart Court Apts,1600 Monument Avenue,Richmond, VA 23220
106,NA,NA,NA, MN 55431
107,9108 Colonial Road,9108 Colonial Road,Brooklyn, NY 11209
108,9480 Ridge Blvd,9480 Ridge Blvd,Brooklyn, NY 11209
109,150 Marine Avenue,150 Marine Avenue,Brooklyn, NY 11209
110,78 Prospect Park West,78 Prospect Park West,Brooklyn, NY 11215
111,Parkstone Apts,129 Chancellor Avenue,Newark, NJ 07112
112,Parker Imperial,7855 Kennedy Blvd East,North Bergen, NJ 08512
113,NA,NA,NA, NJ 08512
114,NA,NA,NA, GA 30096
115,Ruxton Hotel,50 West 72 Street,New York, NY 10023
116,Imperial Gardens,50-60 Imperial Blvd,Wappingers Falls, NY 12590
117,Landmark at Avery Place,11500 North Dale Mabry Highway,Tampa, FL 33618
119,Set Point Apts,241 NE 38 Street,Ft Lauderdale, FL 33334
120,Pine Lakes Apts,120 South Cranford Road,Goose Creek, SC 29445
122,Vista Sands Apts,1001 Bear Island Road,Summerville, SC 29483
123,52 Clark Street,52 Clark Street,NA, NY 11201
125,Coral Haven Apts,10247 SW 24 Street,Miami, FL 33165
126,2455 West Capitol Avenue,2455 West Capitol Avenue,West Sacramento, CA 95691
127,237 Picnic Avenue,237 Picnic Avenue,San Rafael, CA 94901
128,710 East 22 Street,710 East 22 Street,Oakland, CA 94612
129,Century Lakeside Apts,1200 Peaks Landing,Conyers, GA 30013
133,Brevoort,11 Fifth Avenue,New York, NY 10003
134,68 Montague Street,68 Montague Street,Brooklyn, NY 11201
135,The Links Apts,2805 Par Drive,Raleigh, NC 27603
136,135 Prospect Park SW,135 Prospect Park SW,Brooklyn, NY 11218
137,River Ridge,150 Overlook Avenue,Peekskill, NY 10566
138,River Ridge,150 Overlook Avenue,Peekskill, NY 10566
141,Cambridge Square,780 Madison Avenue,Charlottesville, VA 22903
142,Coldwater Crossing Apts,333 Northeast Drive,Fort Wayne, IN 46825
143,Melrose Park Townhouses,2494 Etiwah Avenue,Charleston, SC 29414
144,Cross Creek Cove,855 King Arthur Drive,Fayetteville, NC 28314
146,Beverly Arms Condo,1541 Lemoine Avenue,Fort Lee, NJ 07024
147,4013-15 Oakcrest Drive,4013-15 Oakcrest Drive,San Diego, CA 92116
148,Sutton Gardens/Chruchill Gardens,29 Culvert Street,Port Jervis, NY 12771
149,River Ridge,150 Overlook Avenue,Peekskill, NY 10566
152,Carriage Park Apts I,300 Chatham Park Drive,Pittsburgh, PA 15220
153,Carriage Park Apts I,300 Chatham Park Drive,Pittsburgh, PA 15220
154,Woodlands of Crest Hill,1705 Arbor Lane,Crest Hill, IL 60435
155,Cedar Park,2101 Sausse Avenue,Troy, NY 12180
156,324 Warwick Avenue,324 Warwick Avenue,Oakland, CA 94610
157,Symphony House,235 West 56 Street,New York, NY 10019
158,Pines at Cloverlane Apts,4907 Cloverlane Drive,Ypsilanti, MI 48197
159,The Kintock Group,3 West Industrial Blvd,Bridgeton, NJ 08302
160,249 East 48 Street,249 East 48 Street,New York, NY 19134
161,Willow Park Condo,1115 Willow Avenue,Hoboken, NJ 07030
162,33 Hayward Avenue,33 Hayward Avenue,San Mateo, CA 94401
163,4760 Country Lane,4760 Country Lane,San Jose, CA 95129
164,Georgetown Park,2100 Georgetown Parkway,Fenton, MI 48430
165,Hastings Square West,400 Ortega,Mountain View, CA 94040
166,Hastings Square West,400 Ortega,Mountain View, CA 94040
167,Gracie Mews,401 East 80 Street,New York, NY 10021
168,Gracie Mews,401 East 80 Street,New York, NY 10021
169,127 East 30 Street,127 East 30 Street,New York, NY 10016
170,311 East 75 Street,311 East 75 Street,New York, NY 10021
171,Oriental Arms,268 North Oraton Parkway,East Orange, NJ 07017
172,243-5-7 East 39 Street,243-5-7 East 39 Street,New York, NY 10016
173,Hillcroft Apts,10 Clapboard Ridge Road,Danbury, CT 06811
174,Hillcroft Apts,10 Clapboard Ridge Road,Danbury, CT 06811
175,Columbia Heights Village,1304 Columbia Road NW,Washington, DC 20009
176,Columbia Heights Village,1307 Columbia Road NW,Washington, DC 20009
177,The Point at Silver Spring,8750 Georgia Ave,Silver Spring, MD 20874
178,Saint Timothys School,8400 Greenspring Avenue,Stevenson, MD 21153
179,1401 Floribund Avenue,1401 Floribund Avenue,Burlingame, CA 94010
180,Grand Court Condos,222 Grand Street,Hoboken, NJ 07030
186,Hebrew Theological,7135 Carpenter Road,Skokie, IL 60077
188,Acacia on the Green,2112 Acacia Drive,Lyndhurst, OH 44124
189,Acacia on the Green,2112 Acacia Drive,Lyndhurst, OH 44124
191,Governors Square Condo,4004 Ironbound Road,Williamsburg, VA 23188
192,Mountainview Condo,80 Sierra Vista Lane,Valley Cottage, NY 10989
193,Mountainview Condo,80 Sierra Vista Lane,Valley Cottage, NY 10989
194,Mountainview Condo,80 Sierra Vista Lane,Valley Cottage, NY 10989
195,Mountainview Condo,80 Sierra Vista Lane,Valley Cottage, NY 10989
196,Mountainview Condo,80 Sierra Vista Lane,Valley Cottage, NY 10989
197,45-02 Ditmars Blvd,45-02 Ditmars Blvd,Astoria, NY 11103
199,347 West 55 Street,347 West 55 Street,New York, NY 10019
202,Central Square at Watermark,1280 Appling Drive,Mount Pleasant, SC 29464
203,Shellbrook Apts,914-3 Shellbrook Court,Raleigh, NC 27609
204,300 North End Avenue,300 North End Avenue,New York, NY 110282
205,740 East Broadway,740 East Broadway,Long Beach, NY 11561
206,Rittenhouse Claridge,201 S 18 Street,Philadelphia, PA 19103
207,West View Apts,2702 Lakeshore Drive,Saint Joseph, MI 49085
208,78 Olive Street,78 Olive Street,New Haven, CT 06511
209,Vietor Hall,83-60 Vietor Avenue,Elmhurst, NY 11373
210,34 Berry Street,34 Berry Street,Brooklyn, NY 11211
211,210 East 68 Street,210 East 68 Street,New York, NY 10021
212,19-19 24th Avenue,19-19 24th Avenue,Atoria, NY 11102
213,University Crossing,3175 JFK Blvd,Philadelphia, PA 19104
214,Calusa Cove Apts,8000 SW 210th Street,Miami, FL 33189
215,Seacoast,5151 Collins Avenue,Miami Beach, FL 33140
216,Richmond Pines Apts,14700 Booker T Washington Blvd,Richmond Heights, FL 33186
217,144-30 35th Avenue,EAST ROOM,Flushing, NY 11354
218,144-30 35th Avenue,144-30 35th ave WEST,Flushing, NY 11354
221,Edgewater Landings Apts,1330 West Blvd,Cleveland, OH 44102
222,Edgewater Landings Apts,1330 West Blvd,Cleveland, OH 44102
223,Tor View Village Apts,3 Kensington,Garnerville, NY 10923
224,Tor View Village Apts,6 Kensington,Garnerville, NY 10923
225,Tor View Village Apts,11 Kensington,Garnerville, NY 10923
226,Tor View Village Apts,18 Kensington,Garnerville, NY 10923
227,Tor View Village Apts,22 Kensington,Garnerville, NY 10923
228,Mission Ranch,903 East Highway 80,Mesquite, TX 75150
229,900 Chapel Mall,900 Chapel Mall,NA, CT 06510
230,Boulder Creek Apts,1255 S Byrne Rd,Toledo, OH 43614
231,Willow Lake Apts,13001 Mistletoe Spring Drive,Laurel, MD 20708
233,271 West 47th Street,271 West 47th Street,New York, NY 10036
237,72 Park Avenue,72 Park Avenue,Hoboken, NJ 07030
238,25 East End Avenue,25 East End Avenue,New York, NY 10028
239,35 Orange Street,35 Orange Street,Brooklyn, NY 11201
240,Chapel Tower,900 Chapel Street,New Haven, CT 06510
241,Arlington Oaks,4365 North Arlington Blvd,Arlington, VA 22203
243,1250 North Kings Road,1250 North Kings Road,West Hollywood, CA 90069
244,20 Hillpark Avenue,20 Hillpark Avenue,Great Neck, NY 11021
245,6200 Riverdale Avenue,6200 Riverdale Avenue,Riverdale, NY 10471
247,Uptown Square,1950 Pennsylvania Street,Denver, CO 80203
248,Uptown Square,1950 Pennsylvania Street,Denver, CO 80203
249,Uptown Square,1950 Pennsylvania Street,Denver, CO 80203
250,Commodore Perry Apts,505 Jefferson Street,Toledo, OH 44056
251,American Park Coop,255 Batchelder,Brooklyn, NY 11235
252,American Park Coop,3021 Avenue Z,Brooklyn, NY 11235
253,Montana,247 West 87 Street,New York, NY 10024
255,505 East 82 Street,505 East 82 Street,New York, NY 10028
256,Village Park of Bloomington,1930 East 86 Street,Bloomington, MN 55425
257,Village Park of Bloomington,1930 East 86 Street,Bloomington, MN 55425
258,Ridgedale Square,715 Ridge Avenue NE,Hutchinson, MN 55350
259,Rosalind Franklin University,3333 Green Bay Road,North Chicago, IL 60064
260,Rosalind Franklin University,3333 Green Bay Road,North Chicago, IL 60064
261,Rosalind Franklin University,3333 Green Bay Road,North Chicago, IL 60064
262,Woodsview Apts,5433 West National Avenue,Milwaukee, WI 53214
263,Paradise Haven Homes,7111 South Wentworth Avenue,Chicago, IL 60621
264,Granite Ridge Apts,1139 Tarrant Road,Greensoro, NC 27409
265,Hamilton Bay,24 Hamilton Harbour Drive,Lake Wylie, SC 29710
266,Symphony Place,1117 Marquette Avenue South,Minneapolis, MN 55403
267,The Beatrice,105 West 29 Street,New York, NY 10001
268,Georgian Court University - Maria Hall,900 Lakewood Avenue,Lakewood, NJ 08701
269,Northern View Villas,4879 Columbia Road,North Olmsted, OH 44070
270,Parkside Gardens,1557 Knuth Avenue,Euclid, OH 44132
271,3901 South Ocean Drive,3901 South Ocean Drive,Hollywood, FL 33019
274,Tides on Hollywood Beach,3801 South Ocean Drive,Hollywood, FL 33019
275,101 83rd Avenue NE,101 83rd Avenue NE,Fridley, MN 55432
276,625 West Avenue,625 West Avenue,Sewaren, NJ 07077
277,Bluffs Apts,2800 Selkirk Drive,Burnsville, MN 55337
279,435 East 79 Street,435 East 79 Street,New York, NY 10021
280,75 Wall Street,75 Wall Street,New York, NY 10005
281,Vincennes Court Apts,4832 S Vincennes Ave,Chicago, IL 60615
282,Hastings Village,91 Hastings Ave,Rutherford, NJ 07070
283,Hastings Village,91 Hastings Avenue,Rutherford, NJ 07070
284,Falls of Bonaventure,201 Racquet Club Road,Weston, FL 33326
285,Colonial Garden Apts,467 North Idaho Street,San Mateo, CA 94401
286,1050 W. Columbia Ave,1050 W. Columbia Ave,Chicago, IL 60626
287,Rolling Woods Apts,2405 Ross Road,Silver Spring, MD 20910
288,NA,NA,NA, NA NA
289,4720 South Drexel Blvd.,4720 South Drexel Blvd.,Chicago, IL 60615
290,347 East 53 Street,347 East 53 Street,New York, NY 10022
291,Sterlin McMillan,195 E McMillan St,Cincinnati, OH 45219
293,Skyline Condominium,551 Observer Highway,Hoboken, NJ 07030
294,Naismith Hall,1800 Naismith Drive,Lawrence, KS 66046
302,44-20 Douglaston Pkwy,44-20 Douglaston Pkwy,Douglaston, NY 11363
303,900 Park Avenue,900 Park Avenue,New York, NY 10021
304,Woodside Terrace Apts,2901 Parklane NW Dr,Canton, OH 44709
305,Shoreline East Apts,8200 E Jefferson Ave,Detroit, MI 48214
306,Woodland East I,3202 Salem Court,Michigan City, IN 46360
308,800 Grand Concourse,North Room,Bronx, NY 10451
309,800 Grand Concourse,South Room,Bronx, NY 10451
310,Edinborough in The Park,200 Edinborough Drive,Durham, NC 27703
311,Park Vanderbilt,651 Vanderbilt Str,Brooklyn, NY 11218
312,Highpoint,250 East 40th Street,New York, NY 10016
313,200 East 36th Street,200 East 36th Street,New York, NY 10016
314,94 Bayo Vista Avenue,94 Bayo Vista Avenue,Oakland, CA 94611
315,250 West 15 Street,250 West 15 Street,New York, NY 10011
316,The Regency HOA,221 West 48th Street,Kansas City, MO 64112
317,30 East 38th Street,30 East 38th Street,New York, NY 10016
318,200-202 West Houston Street,200-202 West Houston Street,New York, NY 10014
319,Taylors Place Apts,"4213 E 12 St, 605-81 S. Charlotte Ave",Sioux Falls, SD 57103
320,Prentiss Creek Apts - Bldg 1,2210 Prentiss Dr - Bldg 1,Chicago, IL 60615
321,86-15 Broadway,86-15 Broadway,Elmhurst, NY 11373
322,Woodlake Village,951 South Idaho Street,La Habra, CA 90631
323,Woodlake Village,951 South Idaho Street,La Habra, CA 906
324,Villages on Maple,1769 Robin Lane,Lisle, IL 60532
325,Durand Plaza Apts,3003 Durand Ave,Racine, WI 53403
326,Cornell University Medical,Ladson:  420 East 70 Street,New York, NY 10021
327,Cornell University Medical,Olin:  445 East 69th Street,New York, NY 10021
328,465 Main Street,465 Main Street,Roosevelt Island, NY 10044
329,Deepdale Gardens,63-15 Marathon Pkwy,Little Neck, NY 11362
330,Deepdale Gardens,63-15 Marathon Pkwy,Little Neck, NY 11362
331,Deepdale Gardens,63-15 Marathon Pkwy,Little Neck, NY 11362
333,Tower in the Park,55 Barrett Road,Berea, OH 44017
334,Cityview of Meridian,3801 North Meridian Street,Indianapolis, IN 46208
335,Sunbrook Apt,3600 Harry S. Truman Blvd.,Saint Charles, MO 63301
336,Northtown Village Apts,7899 University Avenue NE - Bldg 7,Spring Lake Park, MN 55432
337,Bradford Apts,55 Manor Drive,Hagerstown, MD 21740
338,3515 West Franklin Boulevard,3515 West Franklin Boulevard,Chicago, IL 60624
339,7752 South Racine Avenue,7752 South Racine Avenue,Chicago, IL 60620
340,6804 South Perry Avenue,6804 South Perry Avenue,Chicago, IL 60621
341,7350 South Phillips Avenue,7350 South Phillips Avenue,Chicago, IL 60649
342,301 North Central Park Avenue,301 North Central Park Avenue,Chicago, IL 60624
343,7000 South Green Street,7000 South Green Street,Chicago, IL 60621
344,Wycliff West,10515 Mastin Street,Overland Park, KS 66212
345,68-63 108th Street,68-63 108th Street,Forest Hills, NY 11375
349,1627 East 9th Street,1627 E 9 St,National City, CA 91950
351,615 Vine Street,615 Vine Street,Oceanside, CA 92054
352,400 East 70th Street,400 East 70th Street,New York, NY 10021
353,Wesley Place Apts,2001 Scarritt Place,Nashville, TN 37293
354,Atriums of Plantation,1 South Pine Island Road,Plantation, FL 33324
356,Catherine Sheridan Houses,31-41 23rd Street,Astoria, NY 11106
357,20 West Street,20 West Street,New York, NY 10004
358,372 5th Avenue,372 5th Avenue,New York, NY 10018
359,27721 Mount Meadow Drive,27721 Mount Meadow Drive,Escondido, CA 92026
360,Hudson Troy Towers - - North,380 Mountain Road,Union City, NJ 07087
361,19 Fiske Place,19 Fiske Place,Brooklyn, NY 11215
362,15 Bar Harbour Condo Assn,15 Bar Harbour Road,Schaumburg, IL 60193
363,2021 Ocean Avenue,2021 Ocean Avenue,Santa Monica, CA 90405
364,Chesterfield Apts,900 West Franklin Street,Richmond, VA 23220
365,Tower America Atlantic,31 River Court,Jersey City, NJ 07310
366,Crestview Apts - Building 1,971 US Hwy 9 No,Parlin, NJ 08859
367,Crestview Apts - Building 4,971 US Hwy 9 No,Parlin, NJ 08859
368,200 North End Avenue,200 North End Avenue,New York, NY 10282
369,100 Clinton Avenue,100 Clinton Avenue,Mineola, NY 11501
370,225 East 76 Street,225 East 76 Street,New York, NY 10057
371,417 East 89 Street,417 East 89 Street,New York, NY 10128
372,NY warehouse,NY warehouse,syosset, NY 11803
374,3842 West Irving Park Road,3842 W Irving Park Rd,Chicago, IL 60618
375,150 West 95 Street,150 West 95 Street,New York, NY 10025
376,Thayer Terrace Apts,525 Thayer Avenue,Silver Springs, MD 20910
377,203 Ladera Street,203 Ladera Street,Santa Barbara, CA 93101
378,Dalton Apts,131 East 5th Street,Gary, IN 46402
379,7331 South Coles Avenue,7331 South Coles Avenue,Chicago, IL 60649
380,Heritage Village Apts,5055 S 55 St,Greenfield, WI 53220
381,Valley Vista Condo,2032 Belmont Road NW,Washington, DC 20009
382,Kent State University - Stopher,One Kent State University Drive,Kent, OH 44242
384,Kent State University,"Tri Tower,One Kent State University Drive",Kent, OH 44242
385,Kent State University,"Fletcher/Manchester,One Kent State University Drive",Kent, OH 44242
386,Kent State University,"Twin Towers,One Kent State University Drive",Kent, OH 44242
387,US Merchant Marine Academy,US Merchant Marine Academy,Kings Point, NY 11024
388,1921-27 West Drive,1921-27 West Drive,Vista, CA 92083
389,Boulevard Apts,2830 West Highland Avenue,Milwaukee, WI 53208
390,Parkway Towers,4545 Wornall,Kansas City, MO 64111
391,Goodwill Terrace,4-21 27th Avenue,Astoria, NY 11102
392,Seasons Condominium,401 North Armistead Street,Alexandria, VA 22312
393,Bellaire Apts,622 SW Bishop Road,Lawton, OK 73501
394,Hyles Anderson College,8400 Burr Street,Crown Point, IN 46307
395,Koinonia Village Apts,2025 East 81st Street,Cleveland, OH 44103
396,Rainbow Place I Apts,7829 Euclid Avenue,Cleveland, OH 44103
397,Rainbow Place II Apts,1946 East 79th Street,Cleveland, OH 44103
398,Fair Oaks Apts,228 Easton Road,Horsham, PA 19044
399,72 Park Avenue,72 Park Avenue,Hoboken, NJ 07030
400,80 Cranberry Street,80 Cranberry Street,Brooklyn, NY 11201
401,The Broadway,2250 Broadway,New York, NY 10024
402,20 Fifth Avenue,20 Fifth Avenue,New York, NY 10011
403,20 Beekman Place,20 Beekman Place,New York, NY 10022
404,Hoyt Bedford Apts-A,98 Hoyt,Stamford, CT 06905
405,Hoyt Bedford Apts-B,100 Hoyt,Stamford, CT 06905
406,Hoyt Bedford Apts-C,112 Hoyt,Stamford, CT 06905
407,Hoyt Bedford Apts-D,126 Hoyt,Stamford, CT 06905
408,Hoyt Bedford Apts-E,140 Hoyt,Stamford, CT 06905
409,Hoyt Bedford Apts-F,122 Hoyt,Stamford, CT 06905
410,Tudor City,304-324 East 41 Street,New York, NY 10017
411,Tudor City,314 East 41 Street,New York, NY 10017
412,Surrey Gardens,3410 Surrey Heights Drive,Eagan, MN 55122
413,Surrey Gardens,3415 Federal Drive,Eagan, MN 55122
414,Stratford Green,9S120 Lake Drive,Willowbrook, IL 60527
416,Tudor City,314 East 41 Street,New York, NY 10017
418,Grand Adams,300 Grand Street,Hoboken, NJ 07030
419,Broadview Gardens Apts,1620 Pleasantdale Drive,Cleveland, OH 44109
421,55 Hicks Street,55 Hicks Street,Brooklyn, NY 11201
422,Townhouse South,65 Prospect Street,Stamford, CT 06901
423,Townhouse North,77 Prospect Street,Stamford, CT 06901
424,Morgan Gregory,83 Morgan Street,Stamford, CT 06905
425,Morgon Gregory,95 Morgan Street,Stamford, CT 06905
426,235 West 22nd Street,235 West 22nd Street,New York, NY 10011
427,Coop City - Chevron,900-920 Baychester Avenue,Bronx, NY 10475
428,Coop City - Chevron,900-920 Coop City Blvd.,Bronx, NY 10475
429,Coop City - Chevron,150 Dreiser,Bronx, NY 10475
430,Coop City - Tricore,100/20/40 Donizetti Place,Bronx, NY 10475
431,Coop City - Tricore,100/20/40 Darrow Place,Bronx, NY 10475
432,Coop City - Tower,140 De Kruif Place,Bronx, NY 10475
433,Coop City - Tower,120 De Kruif Place,Bronx, NY 10475
434,Coop City - Tower,100 De Kruif Place,Bronx, NY 10475
435,Coop City - Chevron,100/120 Dreiser Loop,Bronx, NY 10475
436,Coop City - Tricore,100/20/40 Debbs Place,Bronx, NY 10475
437,Coop City - Tricore,100/20/40 Carver Loop,Bronx, NY 10475
438,Coop City - Tower,120 Casals Place,Bronx, NY 10475
439,Coop City - Tower,100 Casals Place,Bronx, NY 10475
440,Coop City - Tower,140 Casals Place,Bronx, NY 10475
441,Coop City - Chevron,100/120 Aldridch Street,Bronx, NY 10475
442,Coop City - Chevron,600-620 Baychester Avenue,Bronx, NY 10475
443,Coop City - Tower,120 Alcott Place,Bronx, NY 10475
444,Coop City - Tower,100 Alcott Place,Bronx, NY 10475
445,Coop City - Tower,140 Alcott Place,Bronx, NY 10475
446,Coop City - Tricore,100 Asch Loop,Bronx, NY 10475
447,Coop City - Tricore,100/20/40 Bellamy Loop,Bronx, NY 10475
448,Coop City - Chevron,100/120 Coop City Blvd,Bronx, NY 10475
449,Coop City - Tower,140 Benchley Place,Bronx, NY 10475
450,Coop City - Tower,120 Benchley Place,Bronx, NY 10475
451,Coop City - Tower,100 Benchley Place,Bronx, NY 10475
452,Coop City - Tricore,2400/20/40 Hunter Avenue,Bronx, NY 10475
453,Coop City - Tricore,100/20/40 Erdman Place,Bronx, NY 10475
454,Coop City - Tricore,100/20/40 Einstein Loop North,Bronx, NY 10475
455,Coop City - Tricore,4200 Hutchinson River Park,Bronx, NY 10475
456,Coop City - Chevron,4100/4200 Hutchinson River Pkwy,Bronx, NY 10475
457,Coop City - Chevron,100/120 Erskine Place,Bronx, NY 10475
458,Coop City - Chevron,4160/4180 Hutchinson River Parkway,Bronx, NY 10475
459,Coop City - Tower,140 Elgar Place,Bronx, NY 10475
460,Coop City - Tower,120 Elgar Place,Bronx, NY 10475
461,Coop City - Tower,100 Elgar Place,Bronx, NY 10475
462,The Solaire,20 River Terrace,New York, NY 10282
463,245 Perkins Street,245 Perkins Street,Oakland, CA 94610
464,525 East 80 Street,525 East 80 Street,New York, NY 10075
465,88-30 182 Street,88-30 182 Street,Jamaica, NY 11423
467,25 West 68 Street,25 West 68 Street,New York, NY 10023
468,8515 Freeway Drive,8515 Freeway Drive,Macedonia, OH 44056
469,Yorktown Square Condo,2905 Charing Cross Road,Falls Church, VA 22042
470,Spring Crest Apts,4245 University Drive,Sunrise, FL 33351
472,26433 Solon Road,26433 Solon Road,Oakwood Village, OH 44146
473,26463 Solon Road,26463 Solon Road,Oakwood Village, OH 44146
474,Northtown Village Apts,"7779 University Avenue NE, Bldg 1",Spring Lake Park, MN 55432
475,Northtown Village Apts,"7799 University Avenue NE, Bldg 2",Spring Lake Park, MN 55432
476,Northtown Village Apts,"7819 University Avenue NE, Bldg 3",Spring Lake Park, MN 55432
477,Northtown Village Apts,"7839 University Avenue NE, Bldg 4",Spring Lake Park, MN 55432
478,Northtown Village Apts,"7859 University Avenue NE, Bldg 5",Spring Lake Park, MN 55432
479,Northtown Village Apts,"7879 University Avenue NE, Bldg 6",Spring Lake Park, MN 55432
480,Meadows West,225 Christie Street,Ridgefield Park, NJ 07660
481,Meadows West,232 Christie Street,Ridgefield Park, NJ 07660
482,200 Congress Street,200 Congress Street,Brooklyn, NY 11201
483,220 Congress Street,220 Congress Street,Brooklyn, NY 11201
484,Park Chateau,123-40 83rd Avenue,Kew Gardens, NY 11415
486,IN WAREHOUSE,IN WAREHOUSE,New York, NY 10016
487,Windsor Heights Apts,4700 West Saint James Drive,Sioux Falls, SD 57106
